FEA Run,Global Fitness
1,561.186900994351
2,167.66281838295964
3,94.51758463480246
4,14.85498123371925
5,6.308950017765947
6,4.355319879292441
7,4.147153076953458
8,4.085515039082733
9,4.055054089455127
10,4.055054089455127
11,4.055054089455127
12,3.9798872323519605
13,3.948033942891167
14,3.947369890931933
15,3.9423113898178617
16,3.9423113898178617
17,3.9180327182158514
18,3.9073508860158137
19,3.8943320367866043
20,3.8943320367866043
21,3.86853828721385
22,3.86853828721385
23,3.86853828721385
24,3.8682993677834476
25,3.8682993677834476
26,3.8492850961121716
27,3.8478459365826403
28,3.847146592141407
29,3.8470929459355494
30,3.8470929459355494
31,3.8441581073456392
32,3.825357121911097
33,3.8150503058986347
34,3.8150503058986347
35,3.8134369157406294
36,3.812553179076901
37,3.8061635373367024
38,3.7907491557507176
39,3.7852637628412236
40,3.7852426141799658
41,3.783166238238871
42,3.7826406295896873
43,3.7826406295896873
44,3.7826406295896873
45,3.7703211186500183
46,3.769681964959682
47,3.769681964959682
48,3.764904778542179
49,3.761841265203785
50,3.761631789815578
