FEA Run,Global Fitness
1,8.395158989506594
2,2.264906015363803
3,0.24259150008999741
4,0.022511809979949948
5,0.016238154127766524
6,0.013621947548689395
7,0.00117731958431877
8,0.0001304105125581323
9,1.0801193898846151e-05
10,9.674799909209497e-06
11,1.6990231483937634e-06
12,1.1276313540697913e-06
13,1.0533889183150791e-07
14,6.76693834300579e-08
15,4.671953179880006e-08
16,6.076007696975694e-09
17,2.1532433613913327e-09
18,1.0668057548457455e-09
19,8.759504233069038e-10
20,7.314726602203336e-11
21,5.845324224651449e-11
22,5.0605297730044185e-11
23,9.454215188497983e-12
24,8.58380033719186e-12
25,1.3149481503660354e-12
26,4.622968674539152e-13
27,2.9531932455029164e-13
28,2.2071233729548112e-13
29,1.532107773982716e-13
30,6.439293542825908e-14
31,2.1760371282653068e-14
32,1.4654943925052066e-14
33,1.4654943925052066e-14
34,1.4654943925052066e-14
35,1.4654943925052066e-14
36,1.4654943925052066e-14
37,1.4654943925052066e-14
38,1.4654943925052066e-14
39,1.4654943925052066e-14
40,1.4654943925052066e-14
41,1.4654943925052066e-14
42,1.4654943925052066e-14
43,1.4654943925052066e-14
44,1.4654943925052066e-14
45,1.4654943925052066e-14
46,1.4654943925052066e-14
47,1.4654943925052066e-14
48,1.4654943925052066e-14
49,1.4654943925052066e-14
50,1.4654943925052066e-14
