FEA Run,Global Fitness
1,0.02184345738684945
2,0.0013288658632658612
3,0.00011349932960365739
4,1.250228668839e-05
5,3.4058218501787465e-07
6,7.0645254856008825e-09
7,1.2078440413065637e-09
8,1.795273650500184e-10
9,1.7172691376615578e-11
10,1.0889962609203697e-12
11,3.2754729643189535e-13
12,1.197585232890101e-13
13,6.36652103423373e-15
14,1.4081742385593885e-15
15,3.480357217114937e-16
16,7.700502953743307e-18
17,3.3320060926977136e-18
18,2.9940095015081413e-19
19,8.607266404790458e-20
20,1.3233497748148817e-20
21,1.4221123969959397e-21
22,2.2895926564073813e-22
23,3.861221976291701e-23
24,9.146746552061391e-24
25,3.279780153554375e-24
26,8.163861053465924e-25
27,1.7961373811050422e-25
28,4.321889560602755e-26
29,6.09028560732288e-27
30,1.4597475842556156e-27
31,4.916717350558429e-28
32,2.0876055631119367e-28
33,6.761268946496397e-29
34,2.1060440794024774e-29
35,1.433182229214434e-29
36,2.564700663399509e-31
37,2.250919931313261e-31
38,8.853688075993307e-32
39,2.898457377242996e-32
40,2.5020726376442292e-33
41,1.0091812080327937e-33
42,2.8177260385390044e-34
43,2.6291313439462904e-34
44,8.719484814615576e-36
45,8.57902334117759e-36
46,1.148596249355398e-36
47,6.274755085484778e-37
48,3.3144074034281126e-37
49,4.045350079581679e-38
50,2.1061236193428775e-38
